mode,repeat,sample_index,orig_id,answer_sha256,answer_matches_vanilla,latency_ms,tokens,peak_allocated_mb,peak_reserved_mb,steps_processed,detection_ready_ms,detection_after_prefill_ms,detector_probability,detector_prediction
sieve,0,0,1a938d25604410ccd63b60285919eaec:c627e50da685:0:0,e042894d371a8df6673730e94e09c16b0c54e157faa37094ac0edd0138322b43,True,495.23350200615823,12,16193.2724609375,16608.0,2,351.8689760239795,148.6601069336757,0.006687125191092491,0
sieve,0,1,1a938d25604410ccd63b60285919eaec:c627e50da685:0:1,e042894d371a8df6673730e94e09c16b0c54e157faa37094ac0edd0138322b43,True,493.59145702328533,12,16193.2724609375,16608.0,2,350.57434998452663,148.38133403100073,0.004903220571577549,0
sieve,0,2,1a938d25604410ccd63b60285919eaec:c627e50da685:0:2,f5f79da7870b43a425d911d4230cbde81339aaf8976b28d91223d1db1b9dcb91,True,493.2878230465576,12,16193.2724609375,16608.0,2,351.5070560388267,148.2485440792516,0.005713625345379114,0
sieve,0,3,1a938d25604410ccd63b60285919eaec:c627e50da685:0:3,82b4934cd2e12dd5597e5e37c746229f9ae763b2251ce7ebf18bfe7be9c79896,True,521.4005430461839,14,16193.2724609375,16608.0,2,349.9646440614015,148.0766460299492,0.005114580970257521,0
sieve,0,4,1a938d25604410ccd63b60285919eaec:c627e50da685:0:4,82b4934cd2e12dd5597e5e37c746229f9ae763b2251ce7ebf18bfe7be9c79896,True,522.1444180933759,14,16193.2724609375,16608.0,2,350.2525790827349,148.15436501521617,0.005123580805957317,0
sieve,0,5,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:0,435ddab74d1ce43607ae306954b3988e040a520237c7d35ed4bf195d89590fe9,True,590.9301850479096,19,16192.31201171875,16608.0,2,347.45640004985034,151.78616298362613,0.01578235998749733,0
sieve,0,6,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:1,435ddab74d1ce43607ae306954b3988e040a520237c7d35ed4bf195d89590fe9,True,594.9279780033976,19,16192.31201171875,16608.0,2,351.3320510974154,151.68528305366635,0.015412854962050915,0
sieve,0,7,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:2,73fb32b5e401b3eacb51e7e77bdf04e3b22a04455436b5dd1473893ee8251122,True,437.0293589308858,8,16192.31201171875,16608.0,2,350.77863500919193,151.18550998158753,0.00505207059904933,0
sieve,0,8,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:3,435ddab74d1ce43607ae306954b3988e040a520237c7d35ed4bf195d89590fe9,True,595.1596809318289,19,16192.31201171875,16608.0,2,351.5195039799437,151.21066197752953,0.017577657476067543,0
sieve,0,9,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:4,73fb32b5e401b3eacb51e7e77bdf04e3b22a04455436b5dd1473893ee8251122,True,438.6334450682625,8,16192.31201171875,16608.0,2,352.3813970386982,151.00534504745156,0.004846750292927027,0
sieve,0,10,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:0,435ddab74d1ce43607ae306954b3988e040a520237c7d35ed4bf195d89590fe9,True,622.4485340062529,19,16192.31201171875,16608.0,2,350.804208079353,151.3051970396191,0.01578235998749733,0
sieve,0,11,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:1,435ddab74d1ce43607ae306954b3988e040a520237c7d35ed4bf195d89590fe9,True,593.1593528948724,19,16192.31201171875,16608.0,2,350.3792319679633,150.5952550796792,0.015412854962050915,0
sieve,0,12,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:2,73fb32b5e401b3eacb51e7e77bdf04e3b22a04455436b5dd1473893ee8251122,True,436.6244210395962,8,16192.31201171875,16608.0,2,350.3483090316877,148.0766599997878,0.00505207059904933,0
sieve,0,13,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:3,95f301e4834466fadb9df4ae46e1b1c55f14a11d8b92502235741ad28dbdb107,False,535.6203640112653,15,16192.31201171875,16608.0,2,349.54553900752217,151.10947797074914,0.017577657476067543,0
sieve,0,14,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:4,73fb32b5e401b3eacb51e7e77bdf04e3b22a04455436b5dd1473893ee8251122,True,437.4452009797096,8,16192.31201171875,16608.0,2,351.19763296097517,150.95661696977913,0.004846750292927027,0
sieve,0,15,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:0,35990225eb4034f560541dca69e3de42af70ee7e6c5a42420c958e689cda2c02,True,465.9697749884799,10,16196.4697265625,16608.0,2,351.2051940197125,148.26463407371193,0.010603428818285465,0
sieve,0,16,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:1,aebb1cb50cd9dcc29e137a5616bb2478102285853aed08894b7f12bdcbb1c56f,True,496.74644600600004,12,16196.4697265625,16608.0,2,352.6727870339528,152.51979196909815,0.011375278234481812,0
sieve,0,17,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:2,111b8aacdbaf954aebfbd039849710807963f2bd7a68786f9ede013bd58cf416,True,401.77629503887147,5,16196.4697265625,16608.0,2,358.09702007099986,148.22611096315086,0.007663738448172808,0
sieve,0,18,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:3,423b972f52fcbc22cc94be5cb64caefa796a5124160f24ec5fab21772249ca14,True,498.1979380827397,12,16196.4697265625,16608.0,2,353.7676479900256,149.6262130094692,0.004754574969410896,0
sieve,0,19,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:4,423b972f52fcbc22cc94be5cb64caefa796a5124160f24ec5fab21772249ca14,True,497.2364070126787,12,16196.4697265625,16608.0,2,353.3013090491295,148.65913207177073,0.004341862630099058,0
sieve,0,20,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:0,35990225eb4034f560541dca69e3de42af70ee7e6c5a42420c958e689cda2c02,True,465.39940603543073,10,16196.4697265625,16608.0,2,349.5878269895911,148.4599499963224,0.010603428818285465,0
sieve,0,21,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:1,aebb1cb50cd9dcc29e137a5616bb2478102285853aed08894b7f12bdcbb1c56f,True,496.0049850633368,12,16196.4697265625,16608.0,2,352.7380400337279,148.56351597700268,0.011375278234481812,0
sieve,0,22,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:2,111b8aacdbaf954aebfbd039849710807963f2bd7a68786f9ede013bd58cf416,True,393.45908095128834,5,16196.4697265625,16608.0,2,349.38516397960484,151.29781106952578,0.007701085414737463,0
sieve,0,23,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:3,423b972f52fcbc22cc94be5cb64caefa796a5124160f24ec5fab21772249ca14,True,495.69447396788746,12,16196.4697265625,16608.0,2,351.8146419664845,148.2575349509716,0.004754574969410896,0
