model,dataset,k,step_window,evaluation_cohort,validation_rows,mean_steps_used,median_steps_used,p95_steps_used,finished_before_k_share,precision,recall,f1,tp,fp,fn,tn
InternVL3-8B,EarthVQA,12,prefix,fixed_k50_non_all_nan,3293,11.984208928029153,12.0,12.0,0.0036440935317339,0.9777777777777776,0.9643835616438357,0.9710344827586208,352,8,13,2920
InternVL3-8B,EarthVQA,16,prefix,fixed_k50_non_all_nan,3293,15.88794412389918,16.0,16.0,0.0491952626784087,0.9646739130434784,0.9726027397260274,0.9686221009549796,355,13,10,2915
InternVL3-8B,EarthVQA,24,prefix,fixed_k50_non_all_nan,3293,21.84846644397206,24.0,24.0,0.4542969936228363,0.9915966386554622,0.96986301369863,0.9806094182825484,354,3,11,2925
InternVL3-8B,EarthVQA,32,prefix,fixed_k50_non_all_nan,3293,24.58305496507744,24.0,32.0,0.788642575159429,0.9672131147540984,0.96986301369863,0.9685362517099864,354,12,11,2916
InternVL3-8B,EarthVQA,50,prefix,fixed_k50_non_all_nan,3293,26.673853628909807,24.0,49.0,1.0,0.991549295774648,0.9643835616438357,0.9777777777777776,352,3,13,2925
InternVL3-8B,LingoQA,1,prefix,fixed_k50_non_all_nan,3547,1.0,1.0,1.0,0.0,0.973753280839895,0.9115479115479116,0.9416243654822336,371,10,36,3130
InternVL3-8B,LingoQA,2,prefix,fixed_k50_non_all_nan,3547,1.999718071609811,2.0,2.0,0.0002819283901888,0.9836956521739132,0.8894348894348895,0.9341935483870968,362,6,45,3134
InternVL3-8B,LingoQA,4,prefix,fixed_k50_non_all_nan,3547,3.999154214829433,4.0,4.0,0.0002819283901888,0.953125,0.8992628992628993,0.9254108723135273,366,18,41,3122
InternVL3-8B,LingoQA,8,prefix,fixed_k50_non_all_nan,3547,7.992669861855089,8.0,8.0,0.0031012122920778,0.9794344473007712,0.936117936117936,0.957286432160804,381,8,26,3132
InternVL3-8B,LingoQA,12,prefix,fixed_k50_non_all_nan,3547,11.90555398928672,12.0,12.0,0.0329856216521003,0.9770992366412212,0.9434889434889436,0.96,384,9,23,3131
InternVL3-8B,LingoQA,16,prefix,fixed_k50_non_all_nan,3547,15.571186918522695,16.0,16.0,0.1141809980265012,0.9948453608247424,0.9484029484029484,0.9710691823899372,386,2,21,3138
InternVL3-8B,LingoQA,24,prefix,fixed_k50_non_all_nan,3547,20.981956583027912,23.0,24.0,0.5162108824358613,0.9847328244274808,0.9508599508599508,0.9675,387,6,20,3134
