model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
InternVL3-8B,EarthVQA,7,8,non_sdc,0.7552359111388406,3581,82031
InternVL3-8B,EarthVQA,7,8,non_significant_sdc,0.7424114236732301,11052,271984
InternVL3-8B,EarthVQA,8,9,non_sdc,0.7887235666936647,3581,82031
InternVL3-8B,EarthVQA,8,9,non_significant_sdc,0.7834956202938981,11052,271973
InternVL3-8B,EarthVQA,9,10,non_sdc,0.8004273148755936,3581,82031
InternVL3-8B,EarthVQA,9,10,non_significant_sdc,0.7946936786402414,11052,271957
InternVL3-8B,EarthVQA,10,11,non_sdc,0.7572314603455305,3581,82031
InternVL3-8B,EarthVQA,10,11,non_significant_sdc,0.7466515284930474,11052,271957
InternVL3-8B,EarthVQA,11,12,non_sdc,0.7770488913677183,3581,82031
InternVL3-8B,EarthVQA,11,12,non_significant_sdc,0.7679123266548067,11052,271957
InternVL3-8B,EarthVQA,12,13,non_sdc,0.7783524201364443,3581,82031
InternVL3-8B,EarthVQA,12,13,non_significant_sdc,0.7706312891137435,11052,271957
InternVL3-8B,EarthVQA,13,14,non_sdc,0.8028971027270301,3581,82031
InternVL3-8B,EarthVQA,13,14,non_significant_sdc,0.7953294932228961,11052,271957
InternVL3-8B,EarthVQA,14,15,non_sdc,0.7883043865003833,3581,82031
InternVL3-8B,EarthVQA,14,15,non_significant_sdc,0.7798813503366284,11052,271957
InternVL3-8B,EarthVQA,15,16,non_sdc,0.7495427075040736,3581,82031
InternVL3-8B,EarthVQA,15,16,non_significant_sdc,0.7437625066837037,11052,271957
InternVL3-8B,EarthVQA,16,17,non_sdc,0.7212713521473696,3581,82031
InternVL3-8B,EarthVQA,16,17,non_significant_sdc,0.7100888196845673,11052,271957
InternVL3-8B,EarthVQA,17,18,non_sdc,0.732743035087134,3581,82031
InternVL3-8B,EarthVQA,17,18,non_significant_sdc,0.7218309241489425,11052,271957
InternVL3-8B,EarthVQA,18,19,non_sdc,0.8113971148332354,3581,82031
InternVL3-8B,EarthVQA,18,19,non_significant_sdc,0.8042264623243248,11052,271957
InternVL3-8B,EarthVQA,19,20,non_sdc,0.733166877402235,3581,82031
InternVL3-8B,EarthVQA,19,20,non_significant_sdc,0.7199542537559093,11052,271957
InternVL3-8B,EarthVQA,20,21,non_sdc,0.7473716881488047,3581,82031
InternVL3-8B,EarthVQA,20,21,non_significant_sdc,0.7389389775411549,11052,271957
InternVL3-8B,EarthVQA,21,22,non_sdc,0.7835427387512196,3581,82031
InternVL3-8B,EarthVQA,21,22,non_significant_sdc,0.7770990114815667,11052,271957
InternVL3-8B,EarthVQA,22,23,non_sdc,0.7804489345329814,3581,82031
InternVL3-8B,EarthVQA,22,23,non_significant_sdc,0.7758465258303778,11052,271957
InternVL3-8B,EarthVQA,23,24,non_sdc,0.7925055862839685,3581,82031
