model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,LingoQA,24,25,clean,0.8030998187213135,7958,126662
Qwen2.5-VL-7B,LingoQA,24,25,sdc,0.7831199805477282,9244,183229
Qwen2.5-VL-7B,LingoQA,24,25,significant_sdc,0.6948747706358644,718,28344
Qwen2.5-VL-7B,LingoQA,25,26,clean,0.9060561603203574,7958,126662
Qwen2.5-VL-7B,LingoQA,25,26,sdc,0.876655971249912,9210,181529
Qwen2.5-VL-7B,LingoQA,25,26,significant_sdc,0.5885280126602559,684,26644
Qwen2.5-VL-7B,LingoQA,26,27,clean,0.9803849770094121,7958,126662
Qwen2.5-VL-7B,LingoQA,26,27,sdc,0.9594182451898312,9173,179650
Qwen2.5-VL-7B,LingoQA,26,27,significant_sdc,0.7181254406424794,647,24801
InternVL3-8B,LingoQA,0,1,clean,0.7802621959865952,7695,163344
InternVL3-8B,LingoQA,0,1,sdc,0.6806333622306029,11673,345947
InternVL3-8B,LingoQA,0,1,significant_sdc,0.4350291245852009,3103,144224
InternVL3-8B,LingoQA,1,2,clean,0.7174744767163186,7695,163344
InternVL3-8B,LingoQA,1,2,sdc,0.5531528437601849,11588,342263
InternVL3-8B,LingoQA,1,2,significant_sdc,0.12597737184192334,3018,140540
InternVL3-8B,LingoQA,2,3,clean,0.6565645066667075,7695,163344
InternVL3-8B,LingoQA,2,3,sdc,0.5416658036215383,11538,339281
InternVL3-8B,LingoQA,2,3,significant_sdc,0.26613733299260695,2968,137558
InternVL3-8B,LingoQA,3,4,clean,0.7610487239479947,7695,163344
InternVL3-8B,LingoQA,3,4,sdc,0.6823293035427597,11476,336308
InternVL3-8B,LingoQA,3,4,significant_sdc,0.48182135301659107,2906,134585
InternVL3-8B,LingoQA,4,5,clean,0.7077938873670646,7695,163344
InternVL3-8B,LingoQA,4,5,sdc,0.5977464387485627,11402,332469
InternVL3-8B,LingoQA,4,5,significant_sdc,0.3022259491660598,2832,130746
InternVL3-8B,LingoQA,5,6,clean,0.7584305131030277,7695,163344
InternVL3-8B,LingoQA,5,6,sdc,0.6256657824148423,11338,329772
InternVL3-8B,LingoQA,5,6,significant_sdc,0.2512052751741408,2768,128049
InternVL3-8B,LingoQA,6,7,clean,0.5976178022406717,7695,163344
InternVL3-8B,LingoQA,6,7,sdc,0.5099750673618645,11260,325789
InternVL3-8B,LingoQA,6,7,significant_sdc,0.2865911514917761,2690,124066
InternVL3-8B,LingoQA,7,8,clean,0.6313295313838198,7695,163344
InternVL3-8B,LingoQA,7,8,sdc,0.5242671955920262,11202,323244
InternVL3-8B,LingoQA,7,8,significant_sdc,0.21850480060659735,2632,121521
InternVL3-8B,LingoQA,8,9,clean,0.7186803171184976,7695,163344
InternVL3-8B,LingoQA,8,9,sdc,0.6332639394613766,11122,319116
InternVL3-8B,LingoQA,8,9,significant_sdc,0.37577511823869236,2552,117393
InternVL3-8B,LingoQA,9,10,clean,0.7120170128112783,7695,163344
InternVL3-8B,LingoQA,9,10,sdc,0.6104154495575511,11064,316293
InternVL3-8B,LingoQA,9,10,significant_sdc,0.29148935786134444,2494,114570
InternVL3-8B,LingoQA,10,11,clean,0.6650185911053246,7695,163344
InternVL3-8B,LingoQA,10,11,sdc,0.5322445511888081,10975,311411
InternVL3-8B,LingoQA,10,11,significant_sdc,0.07259060708015817,2405,109688
InternVL3-8B,LingoQA,11,12,clean,0.665093168133278,7695,163344
InternVL3-8B,LingoQA,11,12,sdc,0.5454020345382511,10897,308033
InternVL3-8B,LingoQA,11,12,significant_sdc,0.13374865456263044,2327,106310
InternVL3-8B,LingoQA,12,13,clean,0.7030795833078148,7695,163344
InternVL3-8B,LingoQA,12,13,sdc,0.5944369941794797,10801,303262
InternVL3-8B,LingoQA,12,13,significant_sdc,0.2167179308722598,2231,101539
InternVL3-8B,LingoQA,13,14,clean,0.7149623256438729,7695,163344
InternVL3-8B,LingoQA,13,14,sdc,0.6106763814731023,10741,300494
InternVL3-8B,LingoQA,13,14,significant_sdc,0.24433234608446447,2171,98771
InternVL3-8B,LingoQA,14,15,clean,0.719402669389705,7695,163344
InternVL3-8B,LingoQA,14,15,sdc,0.6380300952516863,10658,296149
InternVL3-8B,LingoQA,14,15,significant_sdc,0.33385064246236873,2088,94426
InternVL3-8B,LingoQA,15,16,clean,0.6324657298660362,7695,163344
InternVL3-8B,LingoQA,15,16,sdc,0.5406920588847635,10583,292522
InternVL3-8B,LingoQA,15,16,significant_sdc,0.16379602001904808,2013,90799
InternVL3-8B,LingoQA,16,17,clean,0.598225602421283,7695,163344
InternVL3-8B,LingoQA,16,17,sdc,0.5152766908759376,10499,288452
InternVL3-8B,LingoQA,16,17,significant_sdc,0.19237662047673565,1929,86729
InternVL3-8B,LingoQA,17,18,clean,0.6244924582066518,7695,163344
InternVL3-8B,LingoQA,17,18,sdc,0.5627770194876822,10423,284632
InternVL3-8B,LingoQA,17,18,significant_sdc,0.3170207189267413,1853,82909
InternVL3-8B,LingoQA,18,19,clean,0.736206750489996,7695,163344
InternVL3-8B,LingoQA,18,19,sdc,0.6579801217954814,10343,280580
InternVL3-8B,LingoQA,18,19,significant_sdc,0.25445038798153957,1773,78857
InternVL3-8B,LingoQA,19,20,clean,0.6036337201127618,7695,163344
InternVL3-8B,LingoQA,19,20,sdc,0.5295918872590826,10246,276340
InternVL3-8B,LingoQA,19,20,significant_sdc,0.1737300260994876,1676,74617
InternVL3-8B,LingoQA,20,21,clean,0.6690350234842619,7695,163344
InternVL3-8B,LingoQA,20,21,sdc,0.6090098453616622,10181,272880
InternVL3-8B,LingoQA,20,21,significant_sdc,0.2765617812868886,1611,71157
InternVL3-8B,LingoQA,21,22,clean,0.6452776073557885,7695,163344
