model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,EarthVQA,22,23,non_sdc,0.8816585918065367,3612,70533
Qwen2.5-VL-7B,EarthVQA,22,23,non_significant_sdc,0.8802772608419025,11980,248381
Qwen2.5-VL-7B,EarthVQA,22,23,significant_sdc,0.5971901106418044,796,33275
Qwen2.5-VL-7B,EarthVQA,23,24,non_sdc,0.8614594163256507,3612,70533
Qwen2.5-VL-7B,EarthVQA,23,24,non_significant_sdc,0.8584278824499417,11980,248381
Qwen2.5-VL-7B,EarthVQA,23,24,significant_sdc,0.5043353724852154,766,31823
Qwen2.5-VL-7B,EarthVQA,24,25,non_sdc,0.8907137876943665,3612,70533
Qwen2.5-VL-7B,EarthVQA,24,25,non_significant_sdc,0.8890951994081697,11980,248381
Qwen2.5-VL-7B,EarthVQA,24,25,significant_sdc,0.7382350006459449,741,30459
Qwen2.5-VL-7B,EarthVQA,25,26,non_sdc,0.9380866011768064,3612,70533
Qwen2.5-VL-7B,EarthVQA,25,26,non_significant_sdc,0.9381776978388775,11980,248381
Qwen2.5-VL-7B,EarthVQA,25,26,significant_sdc,0.6685574621749392,709,29074
Qwen2.5-VL-7B,EarthVQA,26,27,non_sdc,0.9842603161110308,3612,70533
Qwen2.5-VL-7B,EarthVQA,26,27,non_significant_sdc,0.9834815011072053,11980,248381
Qwen2.5-VL-7B,EarthVQA,26,27,significant_sdc,0.726558076589989,669,27069
InternVL3-8B,EarthVQA,0,1,non_sdc,0.8092509048312166,3581,82031
InternVL3-8B,EarthVQA,0,1,non_significant_sdc,0.8052545904660099,11052,271984
InternVL3-8B,EarthVQA,0,1,significant_sdc,0.30217474491459306,2925,138715
InternVL3-8B,EarthVQA,1,2,non_sdc,0.7502197702108944,3581,82031
InternVL3-8B,EarthVQA,1,2,non_significant_sdc,0.7392206673103437,11052,271984
InternVL3-8B,EarthVQA,1,2,significant_sdc,0.13034387977951942,2850,135454
InternVL3-8B,EarthVQA,2,3,non_sdc,0.729774104327033,3581,82031
InternVL3-8B,EarthVQA,2,3,non_significant_sdc,0.7200802756841856,11052,271984
InternVL3-8B,EarthVQA,2,3,significant_sdc,0.2488715071882942,2772,131335
InternVL3-8B,EarthVQA,3,4,non_sdc,0.8116355761804327,3581,82031
InternVL3-8B,EarthVQA,3,4,non_significant_sdc,0.8040018233611697,11052,271984
InternVL3-8B,EarthVQA,3,4,significant_sdc,0.452659343823473,2716,128491
InternVL3-8B,EarthVQA,4,5,non_sdc,0.7717809440433784,3581,82031
InternVL3-8B,EarthVQA,4,5,non_significant_sdc,0.7612843903873303,11052,271984
InternVL3-8B,EarthVQA,4,5,significant_sdc,0.19299442627467958,2638,125009
InternVL3-8B,EarthVQA,5,6,non_sdc,0.8015733181420754,3581,82031
InternVL3-8B,EarthVQA,5,6,non_significant_sdc,0.7940961155926315,11052,271984
InternVL3-8B,EarthVQA,5,6,significant_sdc,0.19534398959654367,2579,121882
InternVL3-8B,EarthVQA,6,7,non_sdc,0.6818476596686751,3581,82031
InternVL3-8B,EarthVQA,6,7,non_significant_sdc,0.6661752077609887,11052,271984
InternVL3-8B,EarthVQA,6,7,significant_sdc,0.30167345606172646,2500,117985
InternVL3-8B,EarthVQA,7,8,non_sdc,0.7552359111388406,3581,82031
InternVL3-8B,EarthVQA,7,8,non_significant_sdc,0.7424114236732301,11052,271984
InternVL3-8B,EarthVQA,7,8,significant_sdc,0.07923536232685116,2419,114210
InternVL3-8B,EarthVQA,8,9,non_sdc,0.7887235666936647,3581,82031
InternVL3-8B,EarthVQA,8,9,non_significant_sdc,0.7834956202938981,11052,271973
InternVL3-8B,EarthVQA,8,9,significant_sdc,0.2545101631331039,2342,110637
InternVL3-8B,EarthVQA,9,10,non_sdc,0.8004273148755936,3581,82031
InternVL3-8B,EarthVQA,9,10,non_significant_sdc,0.7946936786402414,11052,271957
InternVL3-8B,EarthVQA,9,10,significant_sdc,0.21153551993691017,2294,107972
InternVL3-8B,EarthVQA,10,11,non_sdc,0.7572314603455305,3581,82031
InternVL3-8B,EarthVQA,10,11,non_significant_sdc,0.7466515284930474,11052,271957
InternVL3-8B,EarthVQA,10,11,significant_sdc,-0.06196125184716451,2202,103495
InternVL3-8B,EarthVQA,11,12,non_sdc,0.7770488913677183,3581,82031
InternVL3-8B,EarthVQA,11,12,non_significant_sdc,0.7679123266548067,11052,271957
InternVL3-8B,EarthVQA,11,12,significant_sdc,0.038733831865062844,2110,99139
InternVL3-8B,EarthVQA,12,13,non_sdc,0.7783524201364443,3581,82031
InternVL3-8B,EarthVQA,12,13,non_significant_sdc,0.7706312891137435,11052,271957
InternVL3-8B,EarthVQA,12,13,significant_sdc,0.15954431091946336,2028,95264
InternVL3-8B,EarthVQA,13,14,non_sdc,0.8028971027270301,3581,82031
InternVL3-8B,EarthVQA,13,14,non_significant_sdc,0.7953294932228961,11052,271957
InternVL3-8B,EarthVQA,13,14,significant_sdc,0.15093988990028345,1974,92469
InternVL3-8B,EarthVQA,14,15,non_sdc,0.7883043865003833,3581,82031
InternVL3-8B,EarthVQA,14,15,non_significant_sdc,0.7798813503366284,11052,271957
InternVL3-8B,EarthVQA,14,15,significant_sdc,0.21944096709010621,1915,89069
InternVL3-8B,EarthVQA,15,16,non_sdc,0.7495427075040736,3581,82031
InternVL3-8B,EarthVQA,15,16,non_significant_sdc,0.7437625066837037,11052,271957
InternVL3-8B,EarthVQA,15,16,significant_sdc,-0.022050749794579858,1809,84089
InternVL3-8B,EarthVQA,16,17,non_sdc,0.7212713521473696,3581,82031
InternVL3-8B,EarthVQA,16,17,non_significant_sdc,0.7100888196845673,11052,271957
InternVL3-8B,EarthVQA,16,17,significant_sdc,0.09214569972614785,1736,80625
InternVL3-8B,EarthVQA,17,18,non_sdc,0.732743035087134,3581,82031
InternVL3-8B,EarthVQA,17,18,non_significant_sdc,0.7218309241489425,11052,271957
InternVL3-8B,EarthVQA,17,18,significant_sdc,0.2816418897846475,1637,75883
InternVL3-8B,EarthVQA,18,19,non_sdc,0.8113971148332354,3581,82031
InternVL3-8B,EarthVQA,18,19,non_significant_sdc,0.8042264623243248,11052,271957
InternVL3-8B,EarthVQA,18,19,significant_sdc,0.19938368638151718,1572,72862
InternVL3-8B,EarthVQA,19,20,non_sdc,0.733166877402235,3581,82031
InternVL3-8B,EarthVQA,19,20,non_significant_sdc,0.7199542537559093,11052,271957
InternVL3-8B,EarthVQA,19,20,significant_sdc,0.057567013879096886,1503,69440
InternVL3-8B,EarthVQA,20,21,non_sdc,0.7473716881488047,3581,82031
InternVL3-8B,EarthVQA,20,21,non_significant_sdc,0.7389389775411549,11052,271957
InternVL3-8B,EarthVQA,20,21,significant_sdc,0.34989705817386185,1436,66086
InternVL3-8B,EarthVQA,21,22,non_sdc,0.7835427387512196,3581,82031
InternVL3-8B,EarthVQA,21,22,non_significant_sdc,0.7770990114815667,11052,271957
InternVL3-8B,EarthVQA,21,22,significant_sdc,0.15008305561761373,1345,61256
InternVL3-8B,EarthVQA,22,23,non_sdc,0.7804489345329814,3581,82031
InternVL3-8B,EarthVQA,22,23,non_significant_sdc,0.7758465258303778,11052,271957
InternVL3-8B,EarthVQA,22,23,significant_sdc,0.362419459694445,1256,57175
InternVL3-8B,EarthVQA,23,24,non_sdc,0.7925055862839685,3581,82031
InternVL3-8B,EarthVQA,23,24,non_significant_sdc,0.7855999886889053,11052,271957
InternVL3-8B,EarthVQA,23,24,significant_sdc,0.4751542605738155,1185,53470
InternVL3-8B,EarthVQA,24,25,non_sdc,0.8119283915925213,3581,82031
InternVL3-8B,EarthVQA,24,25,non_significant_sdc,0.8063295364525522,11052,271957
InternVL3-8B,EarthVQA,24,25,significant_sdc,0.5615691716248606,1085,48574
InternVL3-8B,EarthVQA,25,26,non_sdc,0.8805873477099349,3581,82031
InternVL3-8B,EarthVQA,25,26,non_significant_sdc,0.8786895893648665,11052,271957
InternVL3-8B,EarthVQA,25,26,significant_sdc,0.44736475502882017,987,44176
InternVL3-8B,EarthVQA,26,27,non_sdc,0.9726022848484064,3581,82031
InternVL3-8B,EarthVQA,26,27,non_significant_sdc,0.9709634464842254,11052,271945
InternVL3-8B,EarthVQA,26,27,significant_sdc,0.5888914188340675,911,40585
LLaVA-1.5-7B,EarthVQA,0,1,non_sdc,0.9793024756576356,4843,21058
LLaVA-1.5-7B,EarthVQA,0,1,non_significant_sdc,0.965524496112461,494,4054
LLaVA-1.5-7B,EarthVQA,0,1,significant_sdc,0.3818668784660977,441,17196
LLaVA-1.5-7B,EarthVQA,1,2,non_sdc,0.9788576660698036,4843,21058
LLaVA-1.5-7B,EarthVQA,1,2,non_significant_sdc,0.9480938936639717,494,4054
LLaVA-1.5-7B,EarthVQA,1,2,significant_sdc,0.32509571904950113,433,16804
LLaVA-1.5-7B,EarthVQA,2,3,non_sdc,0.9824228064915902,4843,21058
LLaVA-1.5-7B,EarthVQA,2,3,non_significant_sdc,0.9487177082771706,494,4054
LLaVA-1.5-7B,EarthVQA,2,3,significant_sdc,0.5170116579433428,428,16559
LLaVA-1.5-7B,EarthVQA,3,4,non_sdc,0.9814979912387574,4843,21058
LLaVA-1.5-7B,EarthVQA,3,4,non_significant_sdc,0.950945246259943,494,4054
LLaVA-1.5-7B,EarthVQA,3,4,significant_sdc,0.5285118337461757,420,16167
LLaVA-1.5-7B,EarthVQA,4,5,non_sdc,0.9711292887791104,4843,21058
LLaVA-1.5-7B,EarthVQA,4,5,non_significant_sdc,0.937864785237538,494,4054
LLaVA-1.5-7B,EarthVQA,4,5,significant_sdc,0.45320701159604254,408,15579
LLaVA-1.5-7B,EarthVQA,5,6,non_sdc,0.9743736551361339,4843,21058
LLaVA-1.5-7B,EarthVQA,5,6,non_significant_sdc,0.9431531697463715,494,4054
LLaVA-1.5-7B,EarthVQA,5,6,significant_sdc,0.456919656662373,395,14942
LLaVA-1.5-7B,EarthVQA,6,7,non_sdc,0.9645460401832782,4843,21058
LLaVA-1.5-7B,EarthVQA,6,7,non_significant_sdc,0.9318422361881793,494,4054
LLaVA-1.5-7B,EarthVQA,6,7,significant_sdc,0.4677441463362078,388,14599
LLaVA-1.5-7B,EarthVQA,7,8,non_sdc,0.958199282538595,4843,21058
LLaVA-1.5-7B,EarthVQA,7,8,non_significant_sdc,0.928520005601894,494,4054
LLaVA-1.5-7B,EarthVQA,7,8,significant_sdc,0.3621084842533461,379,14158
LLaVA-1.5-7B,EarthVQA,8,9,non_sdc,0.963787889063282,4843,21058
LLaVA-1.5-7B,EarthVQA,8,9,non_significant_sdc,0.9294863550715274,494,4054
LLaVA-1.5-7B,EarthVQA,8,9,significant_sdc,0.35633485220687455,370,13717
LLaVA-1.5-7B,EarthVQA,9,10,non_sdc,0.965947837551803,4843,21058
LLaVA-1.5-7B,EarthVQA,9,10,non_significant_sdc,0.9345909537558195,494,4054
LLaVA-1.5-7B,EarthVQA,9,10,significant_sdc,0.4038514469001697,359,13178
LLaVA-1.5-7B,EarthVQA,10,11,non_sdc,0.9365789924255381,4843,21058
LLaVA-1.5-7B,EarthVQA,10,11,non_significant_sdc,0.9138952321879674,494,4054
LLaVA-1.5-7B,EarthVQA,10,11,significant_sdc,0.3349030632844392,350,12737
LLaVA-1.5-7B,EarthVQA,11,12,non_sdc,0.9438689076601895,4843,21058
LLaVA-1.5-7B,EarthVQA,11,12,non_significant_sdc,0.9033076952316295,494,4054
LLaVA-1.5-7B,EarthVQA,11,12,significant_sdc,0.17075699312710346,340,12247
LLaVA-1.5-7B,EarthVQA,12,13,non_sdc,0.9560308512786511,4843,21058
LLaVA-1.5-7B,EarthVQA,12,13,non_significant_sdc,0.9133417999490633,494,4054
LLaVA-1.5-7B,EarthVQA,12,13,significant_sdc,0.2306496119880591,333,11904
LLaVA-1.5-7B,EarthVQA,13,14,non_sdc,0.9540645087335756,4843,21058
LLaVA-1.5-7B,EarthVQA,13,14,non_significant_sdc,0.9110827400076642,494,4054
LLaVA-1.5-7B,EarthVQA,13,14,significant_sdc,0.3641112522528986,320,11267
LLaVA-1.5-7B,EarthVQA,14,15,non_sdc,0.9673644560791111,4843,21058
LLaVA-1.5-7B,EarthVQA,14,15,non_significant_sdc,0.9251293367313989,494,4054
LLaVA-1.5-7B,EarthVQA,14,15,significant_sdc,0.5223904245287475,312,10875
LLaVA-1.5-7B,EarthVQA,15,16,non_sdc,0.9662952598833907,4843,21058
LLaVA-1.5-7B,EarthVQA,15,16,non_significant_sdc,0.9299451260570818,494,4054
