k,overall_f1,overall_precision,overall_recall,overall_mean_steps_used,InternVL3-8B_f1,LLaVA-1.5-7B_f1,Qwen2.5-VL-7B_f1,delta_from_k50_pp
1,0.8615196006371301,0.9344738332946378,0.803941566798181,1.0,0.9491079877055856,0.7779542068532894,0.8574966073525152,-1.779983586450895
2,0.8725193954103755,0.973018512512706,0.7973675075975273,1.8772815065958248,0.9500708334797165,0.7941827267911473,0.8733046259602624,-0.6800041091263531
4,0.8644959083965108,0.9314652311560516,0.8101354850520013,3.4690391650296615,0.951612332084661,0.7768462007934085,0.8650291923114629,-1.4823528105128214
8,0.8712825611690533,0.947139257983188,0.8125799589382332,6.479294601060908,0.959154970466562,0.7934705825699128,0.8612221304706854,-0.803687533258568
12,0.8717108421107069,0.9491926763828636,0.8119669512288523,9.246682863929117,0.9591861823099146,0.7969953553608793,0.858950988661327,-0.7608594390932089
16,0.880880806970195,0.9609240041616557,0.8177764767022527,11.641190317227048,0.9620717825053466,0.8008464979937869,0.8797241404114516,0.15613704685559782
24,0.8838463239138057,0.9679994291622855,0.8181109892312539,14.744155646515074,0.9653466641271157,0.8033949179733996,0.8827973896409022,0.4526887412166669
32,0.8780567059559707,0.9586206232980334,0.8156705214250487,15.927347755130516,0.9633653072392597,0.7975351150461824,0.87326969558247,-0.1262730545668278
50,0.879319436501639,0.9572089171672992,0.8191837951771235,17.0464725856,0.9656334835901399,0.8056599832915623,0.8666648426232149,0.0
