model,vanilla_latency_mean_ms,sieve_latency_mean_ms,end_to_end_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,throughput_change_percent,detection_ready_mean_ms,detection_ready_p95_ms,detection_after_prefill_mean_ms,detection_after_prefill_p95_ms,extra_peak_allocated_mb,steps_processed
Qwen2.5-VL-7B,532.7507610083558,543.686245251447,2.0526454476373246,1.7144722556280156,2.3950432198891547,-1.7205918914603213,354.53034827834927,367.42500599939376,149.84922068193555,152.13187891058624,1.1796875,"{""2"": 200}"
InternVL3-8B,665.7712783967145,685.2396973606665,2.924190273097249,2.6084624162312338,3.2712138055918447,-2.841110787792711,374.522621355718,389.5141589338891,43.82763541303575,45.21226917859167,1.1796875,"{""2"": 200}"
LLaVA-1.5-7B,249.62753089726903,255.93734395457432,2.5276911703709493,1.9633738418310176,3.044298206495523,-2.465374126264752,210.2829306363128,235.54136287420988,92.464622274274,102.29649660177529,145.67578125,"{""1"": 40, ""2"": 160}"
