model,dataset,configuration,metric,statistic,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,full_f1,delta_f1_pp
Qwen2.5-VL-7B,LingoQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,3318,168,3150,0.9645390070921984,0.8095238095238095,0.8802588996763754,136,5,32,3145,0.9009584664536742,-2.0699566777298783
Qwen2.5-VL-7B,VQAv2,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,2658,204,2454,0.9276315789473684,0.6911764705882353,0.7921348314606742,141,11,63,2443,0.8194842406876791,-2.7349409227004906
Qwen2.5-VL-7B,VQAv2,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,2658,204,2454,1.0,0.7009803921568627,0.8242074927953891,143,0,61,2454,0.8194842406876791,0.4723252107709963
Qwen2.5-VL-7B,VQAv2,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,2658,204,2454,0.7202072538860104,0.6813725490196079,0.7002518891687658,139,54,65,2400,0.8194842406876791,-11.923235151891332
Qwen2.5-VL-7B,VQAv2,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,2658,204,2454,0.8789808917197452,0.6764705882352942,0.7645429362880887,138,19,66,2435,0.8194842406876791,-5.494130439959044
Qwen2.5-VL-7B,VQAv2,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,2658,204,2454,0.9133333333333332,0.6715686274509803,0.7740112994350282,137,13,67,2441,0.8194842406876791,-4.547294125265089
Qwen2.5-VL-7B,VQAv2,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,2658,204,2454,0.9155844155844156,0.6911764705882353,0.7877094972067039,141,13,63,2441,0.8194842406876791,-3.17747434809752
Qwen2.5-VL-7B,VQAv2,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,2658,204,2454,0.9403973509933776,0.696078431372549,0.8,142,9,62,2445,0.8194842406876791,-1.9484240687679064
Qwen2.5-VL-7B,VQAv2,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,2658,204,2454,0.8197674418604651,0.6911764705882353,0.75,141,31,63,2423,0.8194842406876791,-6.948424068767912
Qwen2.5-VL-7B,VQAv2,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,2658,204,2454,0.9594594594594594,0.696078431372549,0.8068181818181818,142,6,62,2448,0.8194842406876791,-1.2666058869497343
Qwen2.5-VL-7B,VQAv2,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,2658,204,2454,0.9726027397260274,0.696078431372549,0.8114285714285714,142,4,62,2450,0.8194842406876791,-0.8055669259107723
Qwen2.5-VL-7B,VQAv2,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,2658,204,2454,0.9859154929577464,0.6862745098039216,0.8092485549132948,140,2,64,2452,0.8194842406876791,-1.023568577438427
Qwen2.5-VL-7B,VQAv2,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,2658,204,2454,0.9533333333333334,0.7009803921568627,0.807909604519774,143,7,61,2447,0.8194842406876791,-1.1574636167905106
InternVL3-8B,EarthVQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,3293,365,2928,0.9860724233983288,0.96986301369863,0.9779005524861878,354,5,11,2923,0.9777777777777776,0.0122774708410045
InternVL3-8B,EarthVQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,3293,365,2928,0.9971751412429378,0.9671232876712328,0.9819193324061196,353,1,12,2927,0.9777777777777776,0.414155462834187
InternVL3-8B,EarthVQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,3293,365,2928,0.9942857142857144,0.9534246575342464,0.9734265734265736,348,2,17,2926,0.9777777777777776,-0.4351204351204285
InternVL3-8B,EarthVQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,3293,365,2928,0.9858356940509916,0.9534246575342464,0.9693593314763232,348,5,17,2923,0.9777777777777776,-0.8418446301454607
InternVL3-8B,EarthVQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,3293,365,2928,0.997134670487106,0.9534246575342464,0.9747899159663864,348,1,17,2927,0.9777777777777776,-0.2987861811391212
InternVL3-8B,EarthVQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,3293,365,2928,0.9887005649717514,0.958904109589041,0.9735744089012516,350,4,15,2924,0.9777777777777776,-0.4203368876526059
InternVL3-8B,EarthVQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,3293,365,2928,0.9777777777777776,0.9643835616438357,0.9710344827586208,352,8,13,2920,0.9777777777777776,-0.6743295019157047
InternVL3-8B,EarthVQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,3293,365,2928,0.9971428571428572,0.9561643835616438,0.9762237762237762,349,1,16,2927,0.9777777777777776,-0.1554001554001538
InternVL3-8B,EarthVQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,3293,365,2928,0.9775280898876404,0.9534246575342464,0.9653259361997226,348,8,17,2920,0.9777777777777776,-1.2451841578055125
InternVL3-8B,EarthVQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,3293,365,2928,0.98050139275766,0.9643835616438357,0.9723756906077348,352,7,13,2921,0.9777777777777776,-0.540208717004298
InternVL3-8B,EarthVQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,3293,365,2928,0.9830028328611898,0.9506849315068492,0.9665738161559888,347,6,18,2922,0.9777777777777776,-1.1203961621788938
InternVL3-8B,EarthVQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,3293,365,2928,0.9832402234636872,0.9643835616438357,0.9737206085753805,352,6,13,2922,0.9777777777777776,-0.4057169202397404
InternVL3-8B,LingoQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,3547,407,3140,0.9710526315789474,0.9066339066339066,0.937738246505718,369,11,38,3129,0.9699248120300752,-3.218656552435728
InternVL3-8B,LingoQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,3547,407,3140,0.9919137466307276,0.9041769041769042,0.9460154241645244,368,3,39,3137,0.9699248120300752,-2.390938786555074
InternVL3-8B,LingoQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,3547,407,3140,0.9843342036553524,0.9262899262899262,0.9544303797468354,377,6,30,3134,0.9699248120300752,-1.5494432283239767
InternVL3-8B,LingoQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,3547,407,3140,0.96875,0.914004914004914,0.940581542351454,372,12,35,3128,0.9699248120300752,-2.934326967862133
InternVL3-8B,LingoQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,3547,407,3140,0.991891891891892,0.9017199017199016,0.9446589446589446,367,3,40,3137,0.9699248120300752,-2.526586737113057
InternVL3-8B,LingoQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,3547,407,3140,0.9842931937172776,0.9238329238329238,0.953105196451204,376,6,31,3134,0.9699248120300752,-1.6819615578871128
InternVL3-8B,LingoQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,3547,407,3140,0.9626666666666668,0.8869778869778869,0.9232736572890026,361,14,46,3126,0.9699248120300752,-4.665115474107262
InternVL3-8B,LingoQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,3547,407,3140,0.9782608695652174,0.8845208845208845,0.9290322580645162,360,8,47,3132,0.9699248120300752,-4.089255396555902
InternVL3-8B,LingoQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,3547,407,3140,0.9863387978142076,0.8869778869778869,0.9340232858990944,361,5,46,3135,0.9699248120300752,-3.5901526130980743
InternVL3-8B,LingoQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,3547,407,3140,0.9845360824742267,0.9385749385749386,0.961006289308176,382,6,25,3134,0.9699248120300752,-0.891852272189908
InternVL3-8B,LingoQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,3547,407,3140,0.9741602067183462,0.9262899262899262,0.9496221662468514,377,10,30,3130,0.9699248120300752,-2.0302645783223827
InternVL3-8B,LingoQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,3547,407,3140,0.9789473684210528,0.914004914004914,0.9453621346886912,372,8,35,3132,0.9699248120300752,-2.4562677341383954
InternVL3-8B,VQAv2,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,2957,388,2569,0.9859154929577464,0.9020618556701032,0.9421265141318976,350,5,38,2564,0.9491978609625668,-0.7071346830669123
InternVL3-8B,VQAv2,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,2957,388,2569,0.9861111111111112,0.9149484536082474,0.9491978609625668,355,5,33,2564,0.9491978609625668,0.0
InternVL3-8B,VQAv2,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,2957,388,2569,0.8596491228070176,0.884020618556701,0.8716645489199492,343,56,45,2513,0.9491978609625668,-7.753331204261771
InternVL3-8B,VQAv2,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,2957,388,2569,0.9405405405405406,0.8969072164948454,0.9182058047493404,348,22,40,2547,0.9491978609625668,-3.0992056213226538
InternVL3-8B,VQAv2,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,2957,388,2569,0.9774011299435028,0.8917525773195877,0.9326145552560648,346,8,42,2561,0.9491978609625668,-1.6583305706502127
InternVL3-8B,VQAv2,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,2957,388,2569,0.9942857142857144,0.8969072164948454,0.943089430894309,348,2,40,2567,0.9491978609625668,-0.6108430068257897
InternVL3-8B,VQAv2,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,2957,388,2569,0.9777777777777776,0.9072164948453608,0.9411764705882352,352,8,36,2561,0.9491978609625668,-0.8021390374331583
InternVL3-8B,VQAv2,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,2957,388,2569,0.980169971671388,0.8917525773195877,0.9338731443994602,346,7,42,2562,0.9491978609625668,-1.5324716563106633
InternVL3-8B,VQAv2,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,2957,388,2569,0.9857954545454546,0.8943298969072165,0.9378378378378378,347,5,41,2564,0.9491978609625668,-1.1360023124729055
InternVL3-8B,VQAv2,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,2957,388,2569,0.9859943977591036,0.9072164948453608,0.94496644295302,352,5,36,2564,0.9491978609625668,-0.4231418009546739
InternVL3-8B,VQAv2,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,2957,388,2569,0.9803370786516854,0.8994845360824743,0.9381720430107529,349,7,39,2562,0.9491978609625668,-1.102581795181412
InternVL3-8B,VQAv2,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,2957,388,2569,0.991549295774648,0.9072164948453608,0.9475100942126514,352,3,36,2566,0.9491978609625668,-0.1687766749915442
LLaVA-1.5-7B,EarthVQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,1614,65,1549,0.8627450980392157,0.676923076923077,0.7586206896551724,44,7,21,1542,0.7678571428571428,-0.9236453201970418
LLaVA-1.5-7B,EarthVQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,1614,65,1549,0.8461538461538461,0.676923076923077,0.7521367521367521,44,8,21,1541,0.7678571428571428,-1.5720390720390665
LLaVA-1.5-7B,EarthVQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,1614,65,1549,0.8431372549019608,0.6615384615384615,0.7413793103448276,43,8,22,1541,0.7678571428571428,-2.647783251231517
LLaVA-1.5-7B,EarthVQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,1614,65,1549,0.9333333333333332,0.6461538461538462,0.7636363636363636,42,3,23,1546,0.7678571428571428,-0.4220779220779236
LLaVA-1.5-7B,EarthVQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,1614,65,1549,0.9545454545454546,0.6461538461538462,0.7706422018348624,42,2,23,1547,0.7678571428571428,0.2785058977719634
LLaVA-1.5-7B,EarthVQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,1614,65,1549,0.8431372549019608,0.6615384615384615,0.7413793103448276,43,8,22,1541,0.7678571428571428,-2.647783251231517
LLaVA-1.5-7B,EarthVQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,1614,65,1549,0.86,0.6615384615384615,0.7478260869565216,43,7,22,1542,0.7678571428571428,-2.0031055900621157
LLaVA-1.5-7B,EarthVQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,1614,65,1549,0.9302325581395348,0.6153846153846154,0.7407407407407407,40,3,25,1546,0.7678571428571428,-2.7116402116402094
LLaVA-1.5-7B,EarthVQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,1614,65,1549,0.9523809523809524,0.6153846153846154,0.7476635514018692,40,2,25,1547,0.7678571428571428,-2.019359145527355
LLaVA-1.5-7B,EarthVQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,1614,65,1549,0.86,0.6615384615384615,0.7478260869565216,43,7,22,1542,0.7678571428571428,-2.0031055900621157
LLaVA-1.5-7B,EarthVQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,1614,65,1549,0.8775510204081632,0.6615384615384615,0.7543859649122807,43,6,22,1543,0.7678571428571428,-1.3471177944862078
