metric,mean,max,min
cos_sim,86.28024943394283,85.12403773364743,83.6277785308964
mean_diff,82.85951973195664,84.821757856089,84.05505105385777
std_diff,86.11707064613974,84.09074547045611,85.12050856663039
l2_distance,87.34286637043347,86.21762375112864,83.87516871682138
