method,cohort,jobs,sdc_recall,significant_sdc_recall,non_sdc_fpr,significant_sdc_precision,significant_sdc_f1
Ranger-style,full,9,0.41584030466483035,0.8140141075172435,0.009120195859501957,0.9289833207356255,0.8656733011549935
Ranger-style,finite_only,9,0.1272804713686709,0.4211535794404642,0.009120195859501957,0.7284925101422308,0.5289422561680752
Dr.DNA-style,full,9,0.3861033319394107,0.7463614233274066,0.01255417922432359,0.9247250123157724,0.8201709102190805
Dr.DNA-style,finite_only,9,0.07703490472874058,0.22346929604448162,0.01255417922432359,0.592410051556393,0.2983464637435531
SIEVE,full,9,0.45841605977327876,0.9160476208318816,0.010733980233727696,0.9253936694785675,0.9187694579048519
SIEVE,finite_only,9,0.19454223378674249,0.705833408469782,0.010733980233727696,0.766676383869824,0.7202838225006053
