ablation_type,configuration,mean_delta_f1_pp,min_delta_f1_pp,max_delta_f1_pp,mean_f1_percent,std_f1_percent
full,full,0.0,0.0,0.0,87.9319436501639,7.53405155685751
leave_one_out,without_cos_sim,-0.9156760009934852,-3.656869446343125,1.0991219080917047,87.0162676491704,8.11402776121881
leave_one_out,without_mean_diff,-0.654463520790432,-3.0979347101932064,1.0433938609616944,87.27748012937346,7.944542886022631
leave_one_out,without_std_diff,-0.28082656772836007,-2.0917678812415685,0.4723252107709963,87.65111708243555,7.866985378915538
leave_one_out,without_l2_distance,-0.27984557773918683,-1.3798396070757055,1.6238985775625214,87.65209807242472,7.914662619455138
single_group,only_cos_sim,-1.71976648949701,-4.270971546513335,0.2777777777777768,86.2121771606669,8.772222390219893
single_group,only_mean_diff,-1.669388381076474,-6.254272043745724,3.230228261517376,86.26255526908744,8.855384491177178
single_group,only_std_diff,-0.9275671015478252,-5.855855855855863,2.4639796038175787,87.00437654861608,8.672135798312315
single_group,only_l2_distance,-1.0984594965500232,-7.21997300944669,1.7203341513596593,86.83348415361388,8.342173486844688
