model,dataset,configuration,ablation_type,included_groups,removed_group,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,delta_f1_pp
Qwen2.5-VL-7B,VQAv2,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,2658,204,2454,1.0,0.7009803921568627,0.8242074927953891,143,0,61,2454,0.4723252107709963
Qwen2.5-VL-7B,VQAv2,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,2658,204,2454,0.9929078014184396,0.6862745098039216,0.8115942028985508,140,1,64,2453,-0.7890037789128335
Qwen2.5-VL-7B,VQAv2,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9161290322580644,0.696078431372549,0.7910863509749304,142,13,62,2441,-2.8397889712748703
Qwen2.5-VL-7B,VQAv2,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9210526315789472,0.6862745098039216,0.7865168539325843,140,12,64,2442,-3.2967386755094807
Qwen2.5-VL-7B,VQAv2,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9791666666666666,0.6911764705882353,0.8103448275862069,141,3,63,2451,-0.913941310147226
Qwen2.5-VL-7B,VQAv2,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9726027397260274,0.696078431372549,0.8114285714285714,142,4,62,2450,-0.8055669259107723
InternVL3-8B,EarthVQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,3293,365,2928,0.991549295774648,0.9643835616438357,0.9777777777777776,352,3,13,2925,0.0
InternVL3-8B,EarthVQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,3293,365,2928,0.9567567567567568,0.96986301369863,0.963265306122449,354,16,11,2912,-1.4512471655328762
InternVL3-8B,EarthVQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,3293,365,2928,0.9361702127659576,0.9643835616438357,0.9500674763832658,352,24,13,2904,-2.771030139451192
InternVL3-8B,EarthVQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,3293,365,2928,0.9915730337078652,0.9671232876712328,0.9791955617198336,353,3,12,2925,0.1417783942055828
InternVL3-8B,EarthVQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,3293,365,2928,0.9971830985915492,0.96986301369863,0.9833333333333332,354,1,11,2927,0.5555555555555536
InternVL3-8B,EarthVQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,3293,365,2928,0.9943661971830986,0.9671232876712328,0.9805555555555556,353,2,12,2926,0.2777777777777768
InternVL3-8B,EarthVQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,3293,365,2928,0.9914772727272728,0.9561643835616438,0.9735006973500696,349,3,16,2925,-0.4277080427708024
InternVL3-8B,EarthVQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,3293,365,2928,0.9859943977591036,0.9643835616438357,0.9750692520775625,352,5,13,2923,-0.2708525700215403
InternVL3-8B,EarthVQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,3293,365,2928,0.9514824797843666,0.9671232876712328,0.9592391304347826,353,18,12,2910,-1.8538647342995151
InternVL3-8B,LingoQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,3547,407,3140,0.989769820971867,0.9508599508599508,0.9699248120300752,387,4,20,3136,0.0
InternVL3-8B,LingoQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,3547,407,3140,0.9948320413436692,0.945945945945946,0.9697732997481108,385,2,22,3138,-0.0151512281964305
InternVL3-8B,LingoQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,3547,407,3140,0.9948586118251928,0.9508599508599508,0.9723618090452262,387,2,20,3138,0.2436997015150988
InternVL3-8B,LingoQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,3547,407,3140,0.9948186528497408,0.9434889434889436,0.9684741488020177,384,2,23,3138,-0.1450663228057536
InternVL3-8B,LingoQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,3547,407,3140,0.9871794871794872,0.945945945945946,0.9661229611041404,385,5,22,3135,-0.3801850925934658
InternVL3-8B,LingoQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,3547,407,3140,0.9948320413436692,0.945945945945946,0.9697732997481108,385,2,22,3138,-0.0151512281964305
InternVL3-8B,LingoQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,3547,407,3140,0.9921259842519684,0.9287469287469288,0.9593908629441624,378,3,29,3137,-1.0533949085912764
InternVL3-8B,LingoQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,3547,407,3140,0.9921052631578948,0.9262899262899262,0.9580686149936468,377,3,30,3137,-1.1856197036428484
InternVL3-8B,LingoQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,3547,407,3140,0.9973753280839897,0.9336609336609336,0.964467005076142,380,1,27,3139,-0.5457806953933053
InternVL3-8B,VQAv2,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,2957,388,2569,0.9861111111111112,0.9149484536082474,0.9491978609625668,355,5,33,2564,0.0
InternVL3-8B,VQAv2,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,2957,388,2569,0.99438202247191,0.9123711340206184,0.9516129032258064,354,2,34,2567,0.241504226323963
InternVL3-8B,VQAv2,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,2957,388,2569,0.9861111111111112,0.9149484536082474,0.9491978609625668,355,5,33,2564,0.0
InternVL3-8B,VQAv2,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,2957,388,2569,0.9888579387186628,0.9149484536082474,0.9504685408299868,355,4,33,2565,0.1270679867419799
InternVL3-8B,VQAv2,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,2957,388,2569,0.977961432506887,0.9149484536082474,0.9454061251664448,355,8,33,2561,-0.3791735796122131
InternVL3-8B,VQAv2,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,2957,388,2569,0.9833795013850416,0.9149484536082474,0.9479305740987984,355,6,33,2563,-0.1267286863768424
InternVL3-8B,VQAv2,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,2957,388,2569,0.9613259668508288,0.8969072164948454,0.928,348,14,40,2555,-2.1197860962566817
InternVL3-8B,VQAv2,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,2957,388,2569,0.9860335195530726,0.9097938144329896,0.9463806970509384,353,5,35,2564,-0.2817163911628562
InternVL3-8B,VQAv2,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,2957,388,2569,0.9887640449438202,0.9072164948453608,0.946236559139785,352,4,36,2565,-0.296130182278187
