model,full,without_cos_sim,without_mean_diff,without_std_diff,without_l2_distance
Qwen2.5-VL-7B,86.66648426232149,86.27826783412397,87.39066890719795,86.70650703198594,86.48483599284616
InternVL3-8B,96.56334835901399,96.1550503032122,95.72090487970195,96.6046083783946,96.49541398679729
LLaVA-1.5-7B,80.56599832915623,78.61548481017508,78.72086660122051,79.6422358369261,79.97604423763072
Average,87.9319436501639,87.01626764917042,87.27748012937346,87.65111708243555,87.65209807242472
