model,only_cos_sim,only_mean_diff,only_std_diff,only_l2_distance
Qwen2.5-VL-7B,84.05594854126961,86.57979195263272,87.60914878406678,86.54608304781449
InternVL3-8B,96.60864764674884,95.36305200980773,95.98395213740493,95.66475648835699
LLaVA-1.5-7B,77.97193529398223,76.84482184482184,77.42002872437655,78.28961292467017
Average,86.2121771606669,86.26255526908743,87.0043765486161,86.83348415361388
